epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,7.44876,0.38776,0.65186,0.81646,1,0.35697,0.93727,0.88233,0.3411,2.32672,0.78416,0.000686404,0.000686404,0.000686404
7,8.60006,0.38211,0.6267,0.83021,0.97707,0.55987,0.96732,0.91874,0.33196,1.86796,0.78407,0.000794205,0.000794205,0.000794205
8,9.71798,0.362,0.56992,0.82353,0.97299,0.85884,0.98225,0.93516,0.32124,1.39599,0.78101,0.000899587,0.000899587,0.000899587
9,10.8563,0.34376,0.56877,0.82058,0.96904,0.96322,0.99265,0.95689,0.30382,1.06744,0.77929,0.00100255,0.00100255,0.00100255
10,12.0182,0.33784,0.51668,0.81756,0.98251,0.98988,0.99107,0.95622,0.28689,0.75538,0.77815,0.00101201,0.00101201,0.00101201
11,13.1496,0.33317,0.51927,0.81409,0.93921,0.95712,0.99261,0.94827,0.30855,0.80748,0.77884,0.00100101,0.00100101,0.00100101
12,14.2655,0.32855,0.50499,0.81219,0.98279,0.99762,0.99213,0.9735,0.2494,0.58992,0.77291,0.000990012,0.000990012,0.000990012
13,15.3555,0.33042,0.48153,0.8241,0.99395,0.99762,0.993,0.95771,0.27571,0.48862,0.77894,0.000979013,0.000979013,0.000979013
14,16.5044,0.31827,0.46046,0.81546,0.99627,0.99762,0.99302,0.97137,0.25307,0.3857,0.77541,0.000968014,0.000968014,0.000968014
15,17.6217,0.3067,0.45079,0.80941,0.99726,0.99762,0.99302,0.97864,0.2399,0.37414,0.77456,0.000957015,0.000957015,0.000957015
16,18.8441,0.2945,0.45446,0.81693,0.998,0.99762,0.99302,0.97305,0.24885,0.39273,0.77483,0.000946016,0.000946016,0.000946016
17,19.9741,0.32789,0.45094,0.81014,0.9982,0.9975,0.99302,0.96427,0.27062,0.36096,0.77718,0.000935018,0.000935018,0.000935018
18,21.0443,0.32276,0.4312,0.8154,0.99847,0.99762,0.99302,0.97417,0.24094,0.33975,0.7751,0.000924019,0.000924019,0.000924019
19,22.147,0.30415,0.42744,0.81522,0.9981,0.99744,0.99302,0.98536,0.20718,0.3141,0.77316,0.00091302,0.00091302,0.00091302
20,23.2855,0.2915,0.41724,0.81566,0.99861,0.99762,0.99302,0.98064,0.22729,0.31308,0.77405,0.000902021,0.000902021,0.000902021
21,24.4087,0.30221,0.41119,0.80966,0.99885,0.99762,0.99302,0.98144,0.21838,0.30171,0.77522,0.000891022,0.000891022,0.000891022
22,25.5147,0.2816,0.39947,0.81898,0.9986,0.99762,0.99302,0.98892,0.2042,0.30491,0.77297,0.000880023,0.000880023,0.000880023
23,26.6311,0.28015,0.39379,0.8105,0.99891,0.99762,0.99302,0.98731,0.20198,0.29213,0.77107,0.000869024,0.000869024,0.000869024
24,27.7852,0.27088,0.38552,0.81208,0.99848,0.99762,0.99302,0.98717,0.2043,0.28093,0.77285,0.000858025,0.000858025,0.000858025
25,28.9842,0.26522,0.38648,0.81505,0.99896,0.99762,0.99302,0.98887,0.19066,0.27288,0.77045,0.000847026,0.000847026,0.000847026
26,30.1213,0.26387,0.37551,0.80656,0.99887,0.99762,0.99302,0.99051,0.18385,0.26861,0.77152,0.000836027,0.000836027,0.000836027
27,31.2428,0.27803,0.37299,0.80849,0.99843,0.99716,0.99302,0.98572,0.20356,0.27504,0.77216,0.000825029,0.000825029,0.000825029
28,32.3825,0.28044,0.38234,0.81193,0.9986,0.99762,0.99302,0.98755,0.19398,0.26111,0.77214,0.00081403,0.00081403,0.00081403
29,33.5122,0.26419,0.36239,0.80598,0.99918,0.99762,0.99302,0.98891,0.18113,0.25194,0.77099,0.000803031,0.000803031,0.000803031
30,34.6898,0.25489,0.35789,0.80732,0.99889,0.99762,0.99302,0.98756,0.20263,0.2611,0.7726,0.000792032,0.000792032,0.000792032
31,35.8889,0.27098,0.35562,0.81099,0.99826,0.99762,0.99302,0.98813,0.1795,0.26241,0.76902,0.000781033,0.000781033,0.000781033
32,37.0485,0.25328,0.35324,0.79842,0.99874,0.99762,0.99302,0.99197,0.17314,0.26389,0.76814,0.000770034,0.000770034,0.000770034
33,38.2076,0.2469,0.35504,0.79893,0.99861,0.99761,0.99302,0.99139,0.17844,0.26142,0.76903,0.000759035,0.000759035,0.000759035
34,39.4787,0.23894,0.34561,0.79878,0.99888,0.99762,0.99302,0.99119,0.16535,0.24527,0.76901,0.000748036,0.000748036,0.000748036
35,40.6467,0.23573,0.34055,0.7959,0.99907,0.99762,0.99302,0.99131,0.17201,0.23708,0.77043,0.000737037,0.000737037,0.000737037
36,41.8634,0.23708,0.33247,0.8076,0.99919,0.99762,0.99302,0.98966,0.16946,0.23702,0.7686,0.000726038,0.000726038,0.000726038
37,42.9886,0.24139,0.33859,0.80299,0.99873,0.99762,0.99302,0.9912,0.16984,0.23984,0.76954,0.00071504,0.00071504,0.00071504
38,44.1142,0.24339,0.33317,0.80195,0.99895,0.99762,0.99302,0.99269,0.16386,0.24096,0.76854,0.000704041,0.000704041,0.000704041
39,45.2069,0.24799,0.33164,0.80758,0.99858,0.99762,0.99302,0.99073,0.17519,0.24296,0.76816,0.000693042,0.000693042,0.000693042
40,46.4497,0.24505,0.33027,0.80153,0.99915,0.99762,0.99302,0.98982,0.16953,0.24022,0.76853,0.000682043,0.000682043,0.000682043
41,47.5436,0.23859,0.32539,0.80107,0.99925,0.99762,0.99302,0.99058,0.17098,0.22742,0.76883,0.000671044,0.000671044,0.000671044
42,48.7077,0.22868,0.31156,0.79583,0.99889,0.99762,0.99302,0.98537,0.18316,0.23231,0.77139,0.000660045,0.000660045,0.000660045
43,49.8719,0.23303,0.31576,0.80312,0.99882,0.99762,0.99302,0.99041,0.17056,0.24266,0.76863,0.000649046,0.000649046,0.000649046
44,50.9797,0.23595,0.31882,0.80668,0.99873,0.99762,0.99302,0.99188,0.16477,0.23267,0.76731,0.000638047,0.000638047,0.000638047
45,52.1271,0.22992,0.30881,0.80704,0.99905,0.99762,0.99302,0.99221,0.1658,0.22403,0.76743,0.000627048,0.000627048,0.000627048
46,53.2367,0.22457,0.31052,0.80294,0.99845,0.99712,0.99302,0.99175,0.14982,0.21722,0.7674,0.000616049,0.000616049,0.000616049
47,54.32,0.22122,0.29966,0.80317,0.99855,0.99726,0.99303,0.99226,0.15363,0.20703,0.76592,0.000605051,0.000605051,0.000605051
48,55.4276,0.21974,0.29682,0.79882,0.99888,0.99762,0.99303,0.99261,0.15565,0.2128,0.76613,0.000594052,0.000594052,0.000594052
49,56.5346,0.21735,0.29242,0.79258,0.9992,0.99762,0.99304,0.99284,0.14464,0.20585,0.76513,0.000583053,0.000583053,0.000583053
50,57.7092,0.22063,0.28854,0.79286,0.99883,0.99762,0.99304,0.99178,0.15698,0.20907,0.76572,0.000572054,0.000572054,0.000572054
51,58.8299,0.22863,0.29564,0.81028,0.99896,0.99762,0.99305,0.99212,0.15309,0.21048,0.7662,0.000561055,0.000561055,0.000561055
52,59.924,0.21174,0.28872,0.80209,0.99921,0.99762,0.99306,0.99251,0.14401,0.20324,0.76624,0.000550056,0.000550056,0.000550056
53,61.0855,0.20097,0.27979,0.79738,0.99923,0.99762,0.99308,0.99284,0.14633,0.20829,0.76547,0.000539057,0.000539057,0.000539057
54,62.2048,0.20967,0.28004,0.80354,0.99924,0.99762,0.99311,0.99224,0.14966,0.20316,0.76661,0.000528058,0.000528058,0.000528058
55,63.3057,0.21785,0.28985,0.79588,0.9992,0.99762,0.99313,0.99289,0.14494,0.21116,0.76565,0.000517059,0.000517059,0.000517059
56,64.4533,0.21208,0.28786,0.80095,0.99916,0.99762,0.99313,0.99279,0.14331,0.19922,0.76649,0.00050606,0.00050606,0.00050606
57,65.6145,0.20384,0.27355,0.79852,0.99917,0.99762,0.99313,0.99236,0.1404,0.19408,0.76503,0.000495062,0.000495062,0.000495062
58,66.7823,0.20718,0.27444,0.79628,0.99919,0.99762,0.99316,0.99316,0.14842,0.19638,0.76581,0.000484063,0.000484063,0.000484063
59,67.9229,0.21633,0.27634,0.80313,0.99919,0.99762,0.99317,0.99292,0.14672,0.19589,0.76641,0.000473064,0.000473064,0.000473064
60,69.0143,0.21815,0.27163,0.80322,0.99918,0.99762,0.99318,0.99318,0.14578,0.20167,0.76654,0.000462065,0.000462065,0.000462065
61,70.1353,0.20284,0.27009,0.80006,0.99917,0.99762,0.99323,0.99285,0.13823,0.19292,0.7655,0.000451066,0.000451066,0.000451066
62,71.2972,0.21008,0.26595,0.79706,0.99925,0.99762,0.99324,0.99275,0.13238,0.18876,0.76467,0.000440067,0.000440067,0.000440067
63,72.4294,0.19284,0.26322,0.79234,0.99914,0.99762,0.99322,0.99322,0.13075,0.18751,0.76449,0.000429068,0.000429068,0.000429068
64,73.5517,0.1964,0.26405,0.79471,0.99906,0.99762,0.99321,0.99265,0.13684,0.18394,0.76466,0.000418069,0.000418069,0.000418069
65,74.6725,0.20594,0.26115,0.806,0.99921,0.99762,0.99321,0.99321,0.13014,0.18088,0.76407,0.00040707,0.00040707,0.00040707
66,75.7727,0.19732,0.26253,0.79439,0.99899,0.99762,0.99326,0.99286,0.13184,0.18758,0.76419,0.000396071,0.000396071,0.000396071
67,76.9005,0.19639,0.25816,0.80224,0.99917,0.99762,0.99332,0.99287,0.1321,0.18011,0.76437,0.000385073,0.000385073,0.000385073
68,78.0247,0.19662,0.25217,0.79914,0.9991,0.99762,0.99333,0.99333,0.13817,0.18553,0.76512,0.000374074,0.000374074,0.000374074
69,79.1731,0.1989,0.25382,0.80402,0.99922,0.99762,0.99336,0.99283,0.12706,0.17901,0.76494,0.000363075,0.000363075,0.000363075
70,80.3542,0.195,0.25046,0.79231,0.99918,0.99762,0.99335,0.99289,0.13663,0.17991,0.76493,0.000352076,0.000352076,0.000352076
