epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,62.0431,0.22266,0.33846,0.79298,0.99778,1,0.995,0.99425,0.14989,0.23122,0.77195,0.000517059,0.000517059,0.000517059
56,62.6319,0.21997,0.33579,0.78579,0.9973,1,0.995,0.99428,0.15252,0.23135,0.77305,0.00050606,0.00050606,0.00050606
57,63.216,0.22371,0.33829,0.78992,0.99765,1,0.995,0.99286,0.15136,0.2272,0.77275,0.000495062,0.000495062,0.000495062
58,63.7892,0.2287,0.33226,0.8012,0.99754,1,0.995,0.99378,0.15291,0.22845,0.77214,0.000484063,0.000484063,0.000484063
59,64.346,0.23002,0.32801,0.78913,0.99751,1,0.995,0.995,0.14283,0.22576,0.77099,0.000473064,0.000473064,0.000473064
60,64.9061,0.23974,0.33031,0.78753,0.99788,1,0.995,0.99293,0.16523,0.24043,0.77208,0.000462065,0.000462065,0.000462065
61,65.452,0.2316,0.33418,0.78866,0.99779,1,0.995,0.995,0.14921,0.24766,0.77053,0.000451066,0.000451066,0.000451066
62,66.0152,0.21461,0.32543,0.77806,0.99748,1,0.995,0.995,0.14777,0.23721,0.7705,0.000440067,0.000440067,0.000440067
63,66.5753,0.22654,0.32429,0.79801,0.99767,1,0.995,0.99369,0.14576,0.22254,0.7713,0.000429068,0.000429068,0.000429068
64,67.1237,0.21464,0.3194,0.78872,0.99742,1,0.995,0.995,0.14694,0.21855,0.77299,0.000418069,0.000418069,0.000418069
65,67.7673,0.22028,0.32081,0.78627,0.99709,1,0.995,0.995,0.14444,0.21865,0.77203,0.00040707,0.00040707,0.00040707
66,68.3291,0.21511,0.32639,0.79062,0.99719,1,0.995,0.995,0.14132,0.21979,0.77073,0.000396071,0.000396071,0.000396071
67,68.8891,0.21338,0.31686,0.78777,0.99738,1,0.995,0.995,0.14066,0.20763,0.77094,0.000385073,0.000385073,0.000385073
68,69.4496,0.21904,0.31214,0.78365,0.99749,1,0.995,0.995,0.14822,0.2091,0.77096,0.000374074,0.000374074,0.000374074
69,70.0023,0.2172,0.3105,0.78514,0.99774,1,0.995,0.995,0.14587,0.20983,0.7708,0.000363075,0.000363075,0.000363075
70,70.5598,0.21798,0.32334,0.79655,0.99744,1,0.995,0.995,0.13921,0.22349,0.77047,0.000352076,0.000352076,0.000352076
71,71.1179,0.21606,0.32466,0.79075,0.99698,1,0.995,0.99434,0.1537,0.22396,0.77114,0.000341077,0.000341077,0.000341077
72,71.6659,0.22825,0.31957,0.78595,0.99695,1,0.995,0.99372,0.14849,0.21906,0.77019,0.000330078,0.000330078,0.000330078
73,72.2063,0.22545,0.31105,0.78785,0.997,1,0.995,0.99369,0.14303,0.21782,0.76991,0.000319079,0.000319079,0.000319079
74,72.7552,0.22373,0.31032,0.78963,0.99716,1,0.995,0.99372,0.14908,0.22088,0.77004,0.00030808,0.00030808,0.00030808
75,73.3859,0.20997,0.31302,0.78673,0.99709,1,0.995,0.995,0.13974,0.21774,0.7701,0.000297081,0.000297081,0.000297081
76,73.9459,0.21088,0.31075,0.78409,0.99699,1,0.995,0.9928,0.13878,0.21804,0.76983,0.000286083,0.000286083,0.000286083
77,74.5285,0.2174,0.31769,0.79483,0.99719,1,0.995,0.995,0.13488,0.21221,0.76948,0.000275084,0.000275084,0.000275084
78,75.1166,0.2078,0.30699,0.78911,0.99747,1,0.995,0.995,0.12988,0.20132,0.76922,0.000264085,0.000264085,0.000264085
79,75.6877,0.19998,0.2954,0.78392,0.99762,1,0.995,0.99378,0.1333,0.19909,0.76979,0.000253086,0.000253086,0.000253086
80,76.2708,0.20815,0.29759,0.78412,0.9977,1,0.995,0.995,0.13215,0.2004,0.7687,0.000242087,0.000242087,0.000242087
81,76.8256,0.20337,0.29194,0.78801,0.99765,1,0.995,0.995,0.12909,0.20049,0.76841,0.000231088,0.000231088,0.000231088
82,77.3852,0.20773,0.30085,0.78541,0.99729,1,0.995,0.995,0.13036,0.20396,0.76941,0.000220089,0.000220089,0.000220089
83,77.9408,0.20086,0.29611,0.80038,0.99707,1,0.995,0.99428,0.13258,0.2068,0.76951,0.00020909,0.00020909,0.00020909
84,78.5801,0.19838,0.29506,0.78885,0.99744,1,0.995,0.995,0.132,0.20144,0.77074,0.000198091,0.000198091,0.000198091
